N,Z,A,True_BE_MeV,MISR_Pred_MeV,MISR_Error,Base_SR_Pred_MeV,Base_SR_Error
39,41,80,652.08,654.3729859797917,-2.292985979791638,651.451545079872,0.6284549201280925
25,18,43,364.9942426,366.4538621841942,-1.4596195841941721,366.4788234106038,-1.484580810603802
49,49,98,806.54,808.1194467783686,-1.579446778368606,807.1906352379075,-0.6506352379075224
28,30,58,486.9649086,483.45754186335006,3.507366736649942,486.5792666870694,0.3856419129306232
38,30,68,595.386376,586.2956643616781,9.090711638321977,596.5467409575477,-1.1603649575476993
64,36,100,813.4,811.5536856943706,1.8463143056293347,814.3331075678224,-0.9331075678223897
47,39,86,742.9049198,743.7995233339035,-0.8946035339034779,743.3202467799357,-0.4153269799356849
56,38,94,807.8204336,806.1117474686196,1.708686131380432,805.7074635053107,2.112970094689331
29,12,41,263.425,192.86359017687718,70.56140982312283,263.00365188591695,0.4213481140830595
16,18,34,278.7208616,275.4726912008473,3.2481703991526842,278.04864500194236,0.6722165980576165
38,25,63,535.8214260000001,534.0507994279794,1.7706265720206602,535.9030923858826,-0.08166638588249953
49,30,79,667.5960175000001,662.7973749787753,4.798642521224792,666.9648557673198,0.6311617326803116
55,48,103,874.4447341,877.4706306749679,-3.0258965749678737,873.7426945632108,0.7020395367892434
20,21,41,343.1371139,342.0972156875832,1.0398982124168015,344.15250734836127,-1.0153934483612943
33,31,64,551.1444288,545.377679714151,5.766749085849028,551.018587243668,0.1258415563320341
10,12,22,168.58081900000002,169.2438586254647,-0.6630396254646769,169.6113128032586,-1.0304938032585937
45,27,72,600.336,597.3073919294704,3.0286080705295717,600.6877459443109,-0.3517459443108919
51,33,84,718.026834,715.6638141961828,2.363019803817224,716.8465378596611,1.1802961403388963
30,29,59,509.8781593,501.4074021832402,8.470757116759785,509.6715707288512,0.20658857114881357
49,32,81,695.0333547,691.031650324523,4.001704375477061,694.3457668505251,0.6875878494748804
51,45,96,819.328656,822.677540863192,-3.3488848631919836,818.4639388621026,0.8647171378974008
32,15,47,338.823,342.62804661401674,-3.80504661401676,335.27311696451403,3.549883035485948
70,44,114,955.9282014,957.7276153660886,-1.7994139660885367,956.0412026509186,-0.11300125091861446
43,44,87,713.487,720.0548555235644,-6.56785552356439,714.0644412271546,-0.5774412271546225
56,37,93,794.3056436999999,793.8529272901836,0.4527164098162757,792.6763060814915,1.6293376185084298
40,26,66,562.4338170000001,558.0344361221576,4.399380877842532,563.7829459832983,-1.3491289832982147
74,45,119,988.1040407,989.4042130116794,-1.3001723116793755,988.0959915843573,0.00804911564273425
21,25,46,364.139703,371.3012346575742,-7.161531657574187,364.5661478898442,-0.4264448898442197
53,40,93,806.4607250999999,805.4329593981785,1.0277657018214086,804.4380126375305,2.0227124624693715
30,28,58,506.4596018,493.70408897650196,12.755512823498009,506.21485593601653,0.24474586398343945
30,17,47,375.624,384.0230320762253,-8.399032076225296,374.7062959777276,0.9177040222724031
31,17,48,378.384,389.8908304599281,-11.506830459928096,376.69476524686894,1.6892347531310747
47,29,76,641.7137368000001,636.2143772695022,5.499359530497941,641.3718385324056,0.3418982675945017
58,37,95,803.7186865000001,804.4515680079762,-0.7328815079761171,803.0716654586655,0.6470210413345967
11,12,23,181.7258267,182.667021949485,-0.9411952494849913,182.67042730299877,-0.9446006029987757
14,16,30,243.681243,237.65577554554125,6.025467454458749,243.01747055788786,0.6637724421121334
61,39,100,843.94151,846.8362488778499,-2.8947388778499317,843.6746891860864,0.2668208139135686
45,38,83,716.9878308,715.7418526456894,1.245978154310592,717.0922041557792,-0.10437335577921658
14,13,27,224.9519391,223.2199380284882,1.732001071511803,225.5242162782806,-0.5722771782805864
82,49,131,1087.0320264000002,1083.2915685806527,3.7404578193475118,1084.3850174306858,2.6470089693143564
35,19,54,426.114,437.34616538458255,-11.232165384582572,424.9585900683885,1.155409931611473
52,46,98,836.3221902,837.3108064760172,-0.9886162760171828,835.1582775336038,1.163912666396186
35,22,57,477.2553456,477.59698979307007,-0.3416441930700671,477.84948307161613,-0.5941374716161363
24,27,51,417.8559999,417.97723289071916,-0.12123299071919291,417.0753012960408,0.7806986039591948
27,15,42,326.1683124,342.10656589534386,-15.938253495343872,326.63587977946924,-0.4675673794692443
69,44,113,949.5034841,952.7811538791676,-3.2776697791675815,949.3664863871765,0.13699771282358597
28,22,50,437.786135,431.88004077058764,5.906094229412361,436.45067616698236,1.3354588330176398
36,28,64,561.7576768,550.7158752924859,11.041801507514151,562.8672006377876,-1.1095238377876058
68,46,114,967.6326384,971.3289668277271,-3.696328427727053,968.569941364029,-0.9373029640289587
17,17,34,285.56500040000003,284.76805858228846,0.7969418177115699,285.26185602538766,0.30314437461237276
26,20,46,398.7733008,393.02508678988477,5.748214010115248,399.18173491647497,-0.4084341164749503
16,23,39,274.209,280.418540173305,-6.209540173305015,274.2014361167859,0.00756388321411805
37,39,76,621.148,622.0164367675425,-0.8684367675424483,621.0955442082228,0.05245579177721993
59,39,98,832.7663876,836.0818534102661,-3.3154658102661188,832.4317143277842,0.33467327221580945
40,21,61,475.434,498.38678056258726,-22.952780562587236,476.1877200885151,-0.753720088515081
58,35,93,776.1406698,774.9867044173828,1.1539653826171161,775.8130278122787,0.327641987721222
60,45,105,900.1340564999999,904.0507208338186,-3.9166643338186304,900.4796431238402,-0.3455866238402905
30,35,65,513.76,525.2830261357059,-11.52302613570589,514.7503909320886,-0.9903909320886441
78,46,124,1023.248,1019.3294245012514,3.9185754987486234,1022.7492782791364,0.4987217208636139
26,19,45,384.9603615,384.82828366648437,0.1320778335156092,385.9493686782982,-0.989007178298209
35,31,66,572.1779646000001,566.1034623271717,6.074502272828454,572.4742319858316,-0.29626738583147016
27,22,49,426.8469625,423.02561039404094,3.821352105959079,426.5435551485842,0.3034073514158422
72,42,114,936.966,935.7025260940726,1.2634739059274125,937.1996525510915,-0.2336525510914953
48,26,74,597.624,601.8212462089605,-4.1972462089604505,596.8937542918368,0.7302457081632383
46,27,73,606.046,601.8585655369914,4.187434463008685,605.9664098686611,0.07959013133893222
53,43,96,827.0272608,829.0408534583675,-2.013592658367429,826.0897447909757,0.9375160090243071
63,45,108,921.5278956,926.9544124998474,-5.426516899847456,922.3122289979592,-0.7843333979592444
18,13,31,254.991058,259.8034440809429,-4.812386080942872,255.42095534105593,-0.4298973410559199
14,18,32,246.4002848,244.34242913595156,2.0578556640484464,244.63074289028538,1.7695419097146328
9,14,23,150.742,149.49786765774093,1.2441323422590642,150.48767822193048,0.2543217780695102
64,43,107,908.7400753,912.323525844576,-3.583450544576067,909.0391420694643,-0.2990667694643889
22,22,44,375.4749460000001,371.57325024259103,3.9016957574090725,376.9680794869706,-1.493133486970521
54,37,91,783.2881510999999,781.969139518891,1.3190115811089527,781.5178863311801,1.7702647688198567
46,48,94,761.588,764.0163991094598,-2.4283991094598605,760.8967932821081,0.6912067178918733
57,43,100,859.51184,862.7910892333409,-3.27924923334092,859.2660269868051,0.24581301319494742
59,37,96,807.2540448000001,809.2360161742566,-1.9819713742565455,806.9903601710389,0.2636846289611867
34,36,70,577.92,578.2260212860766,-0.3060212860766569,577.9854668770046,-0.06546687700461007
30,26,56,492.2599527999999,481.8551551448097,10.40479765519018,490.56557903511833,1.6943737648815613
13,17,30,224.165094,224.62909438806352,-0.4640003880635106,223.49055900438321,0.6745349956167956
36,21,57,465.0154962,467.74271114625674,-2.7272149462567654,465.0919861074407,-0.07648990744070261
39,39,78,651.222,648.2527710197248,2.9692289802751475,651.708619465979,-0.4866194659790608
56,34,90,755.619048,751.6550049430625,3.9640430569374985,754.6867026674128,0.9323453325872606
44,36,80,695.434408,690.7999601710478,4.634447828952148,695.60278213548,-0.16837413548000768
53,44,97,834.6151503,835.8198405625621,-1.204690262562167,833.1273080347048,1.4878422652951713
21,17,38,323.2083046,326.23002121628065,-3.021716616280628,323.8020645259801,-0.5937599259800663
28,32,60,486.78,490.9197422551945,-4.139742255194506,486.7534324012445,0.026567598755491417
80,45,125,1015.5,1009.2411354772993,6.258864522700719,1016.1530573544633,-0.6530573544632716
39,25,64,539.9947199999999,539.6837543688516,0.31096563114829223,540.0774210606204,-0.08270106062047944
39,21,60,472.38,486.6742189828301,-14.294218982830103,472.83830723496385,-0.45830723496385417
35,36,71,591.2263009999999,590.4353645004713,0.7909364995285841,591.5809184911872,-0.3546174911872413
18,18,36,306.7167456,302.68619657806624,4.03054902193378,306.0071113575174,0.7096342424826503
18,14,32,271.407008,271.65073695449814,-0.24372895449812404,270.0698180045235,1.3371899954765354
77,43,120,969.96,967.0470429634001,2.9129570365998916,970.3699653053174,-0.40996530531731423
74,44,118,975.034,974.1645971316793,0.8694028683206625,975.3992939722924,-0.3652939722924202
42,41,83,695.4560787,696.7444157606092,-1.2883370606091376,695.515696390589,-0.059617690588993355
36,19,55,428.56,447.4915684869075,-18.93156848690751,427.88381540668024,0.6761845933197606
60,36,96,799.7637216,798.2761725780227,1.4875490219773155,799.8038822553159,-0.04016065531584445
30,21,51,438.4582863,435.7143115856148,2.7439747143852173,437.5154680020731,0.9428182979269195
69,43,112,935.6056304,939.2285839094737,-3.6229535094737457,935.4523634995104,0.1532669004895979
30,27,57,498.2874165,488.7186937600334,9.568722739966631,497.0318681152983,1.255548384701683
41,26,67,566.1457053,563.6089390016502,2.5367662983497894,566.9117402859816,-0.7660349859816051
55,36,91,777.2994228999999,775.4804431368763,1.8189797631235933,775.24740816116,2.05201473883983
28,27,55,476.829122,468.27874416611775,8.550377833882237,475.921289454286,0.9078325457139726
34,22,56,474.205172,472.2715546745088,1.9336173254911841,475.3020908281849,-1.0969188281848687
21,28,49,365.05,377.5591107587876,-12.509110758787585,364.3987796742942,0.6512203257058218
49,47,96,802.5878688,806.7949139537828,-4.207045153782815,803.0039079201689,-0.41603912016887534
17,12,29,235.2924193,238.62599161939895,-3.3335723193989395,235.11587042775867,0.17654887224134086
